temp_R2;0.949;0.952;0.949;0.939
temp_MAE;1.342;1.342;1.323;1.405
prec_R2;0.751;0.777;0.745;0.649
prec_MAE;1.577;1.196;1.942;2.233
swe_R2;0.906;0.867;0.946;0.969
swe_MAE;9.092;3.062;14.289;21.425
