Wall time,Step,Value
1773066896.5164106,1,0.053048357367515564
1773069490.8313441,2,0.03503981977701187
1773072028.7957923,3,0.030875911936163902
1773074640.7345557,4,0.028758414089679718
1773077160.5952814,5,0.027328740805387497
1773079800.3261392,6,0.026226136833429337
1773082326.6227279,7,0.02546687237918377
1773084834.7147644,8,0.02465001866221428
1773087490.2168653,9,0.023986071348190308
1773090016.0441527,10,0.021923894062638283
1773092661.030504,11,0.021373054012656212
1773095310.1888537,12,0.021048320457339287
1773097951.438154,13,0.020637881010770798
1773100551.2664006,14,0.020472979173064232
1773103112.8396702,15,0.023062124848365784
1773105725.080583,16,0.020028715953230858
1773108360.085141,17,0.019840633496642113
1773111019.664678,18,0.019683312624692917
1773113623.1235354,19,0.019496535882353783
1773116192.8962033,20,0.018111471086740494
1773118831.6225855,21,0.017823968082666397
1773121478.8707178,22,0.0176582969725132
1773123937.5073578,23,0.017527414485812187
1773126504.9924417,24,0.017421968281269073
1773129122.416492,25,0.017316851764917374
1773131743.7895486,26,0.017228811979293823
1773134323.1115,27,0.017151422798633575
1773136833.4149907,28,0.017110569402575493
1773139459.4513307,29,0.01703140139579773
1773142059.5829942,30,0.01697300188243389
