Wall time,Step,Value
1773067001.0543427,1,0.5284196734428406
1773069585.9474866,2,0.5523372888565063
1773072124.5617752,3,0.5722037553787231
1773074739.0398211,4,0.5770734548568726
1773077256.2096627,5,0.5559678077697754
1773079898.9425929,6,0.5829445123672485
1773082423.0456283,7,0.615882933139801
1773084930.5270777,8,0.6286001205444336
1773087588.1971884,9,0.6190472841262817
1773090111.6327028,10,0.6581102609634399
1773092759.3193526,11,0.6279268860816956
1773095405.8809566,12,0.6570213437080383
1773098048.915964,13,0.6335722208023071
1773100649.6482522,14,0.660590410232544
1773103209.450654,15,0.658552885055542
1773105820.2438097,16,0.6650388836860657
1773108458.868466,17,0.631628692150116
1773111116.1951299,18,0.6422504186630249
1773113718.284792,19,0.6284467577934265
1773116291.7394478,20,0.6523723006248474
1773118930.3687806,21,0.649032711982727
1773121575.1535933,22,0.6413780450820923
1773124033.522429,23,0.6325756907463074
1773126603.12463,24,0.6387749910354614
1773129218.82402,25,0.6470131874084473
1773131840.0667794,26,0.641229510307312
1773134420.6879475,27,0.6484079957008362
1773136929.817739,28,0.6434272527694702
1773139554.7939591,29,0.643932580947876
1773142157.4750097,30,0.6498187780380249
