Wall time,Step,Value
1773067001.0543287,1,0.27750101685523987
1773069585.947473,2,0.2681681215763092
1773072124.5617597,3,0.23660583794116974
1773074739.0398066,4,0.26242053508758545
1773077256.2096493,5,0.29649534821510315
1773079898.942577,6,0.30655139684677124
1773082423.0456152,7,0.308889240026474
1773084930.5270596,8,0.29459652304649353
1773087588.1971745,9,0.3257119059562683
1773090111.6326883,10,0.33959510922431946
1773092759.3193302,11,0.3107788860797882
1773095405.8809416,12,0.38839438557624817
1773098048.91595,13,0.3782391846179962
1773100649.6482384,14,0.3652607500553131
1773103209.4506388,15,0.327006459236145
1773105820.2437956,16,0.35185837745666504
1773108458.868452,17,0.33725059032440186
1773111116.1951153,18,0.3834763765335083
1773113718.2847776,19,0.3320449888706207
1773116291.7394338,20,0.3529593050479889
1773118930.3687668,21,0.3449844717979431
1773121575.1535733,22,0.300191193819046
1773124033.5223875,23,0.31744590401649475
1773126603.1246166,24,0.3173125386238098
1773129218.8240056,25,0.3264293074607849
1773131840.0667658,26,0.3234747648239136
1773134420.6879337,27,0.3341929018497467
1773136929.8177254,28,0.33211326599121094
1773139554.793945,29,0.31879934668540955
1773142157.4749956,30,0.3266751170158386
